"Format","MoTeC CSV File",,,"Workbook","Aero Platform"
"Venue","fuji gp",,,"Worksheet","Aero Map"
"Vehicle","acuransxevo22gt3",,,"Vehicle Desc","acuransxevo22gt3"
"Driver","Chris Thompson21",,,"Engine ID",""
"Device","ADL"
"Comment","Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto",,,"Session","Race"
"Log Date","7/4/2025",,,"Origin Time","0.000","s"
"Log Time","12:12:47 AM",,,"Start Time","0.000","s"
"Sample Rate","50.000","Hz",,"End Time","2263.900","s"
"Duration","2263.900","s",,"Start Distance","0","ft"
"Range","Lap 9 (selection)",,,"End Distance","289191","ft"
"Beacon Markers","197.713 316.399 423.724 526.278 628.438 730.721 838.954 940.989 1043.496 1144.610 1247.110 1359.308 1518.971 1622.668 1725.041 1827.451 1929.042 2044.844 2147.252 2248.998 "


"Time","Rake Angle","Aero Map Proxy"
"s","deg",""


"3.640","0.27","-0.00"
"3.660","0.27","-0.00"
"3.680","0.27","-0.00"
"3.700","0.27","-0.00"
"3.720","0.27","-0.00"
"3.740","0.27","-0.00"
"3.760","0.27","-0.00"
"3.780","0.27","-0.00"
"3.800","0.27","-0.00"
"3.820","0.27","-0.00"
"3.840","0.27","-0.00"
"3.860","0.27","-0.00"
"3.880","0.27","-0.00"
"3.900","0.27","-0.00"
"3.920","0.27","-0.00"
"3.940","0.27","-0.00"
"3.960","0.27","-0.00"
"3.980","0.27","-0.00"
"4.000","0.27","-0.00"
"4.020","0.27","-0.00"
"4.040","0.27","-0.00"
"4.060","0.27","-0.00"
"4.080","0.27","-0.00"
"4.100","0.27","-0.00"
"4.120","0.27","-0.00"
"4.140","0.27","-0.00"
"4.160","0.27","-0.00"
"4.180","0.27","-0.00"
"4.200","0.27","-0.00"
"4.220","0.27","-0.00"
"4.240","0.27","-0.00"
"4.260","0.27","-0.00"
"4.280","0.27","-0.00"
"4.300","0.27","-0.00"
"4.320","0.27","-0.00"
"4.340","0.27","-0.00"
"4.360","0.27","-0.00"
"4.380","0.27","-0.00"
"4.400","0.27","-0.00"
"4.420","0.27","-0.00"
"4.440","0.27","-0.00"
"4.460","0.27","-0.00"
"4.480","0.27","-0.00"
"4.500","0.27","-0.00"
"4.520","0.27","-0.00"
"4.540","0.27","-0.00"
"4.560","0.27","-0.00"
"4.580","0.27","-0.00"
"4.600","0.27","-0.00"
"4.620","0.27","-0.00"
"4.640","0.27","-0.00"
"4.660","0.27","-0.00"
"4.680","0.27","-0.00"
"4.700","0.27","-0.00"
"4.720","0.27","-0.00"
"4.740","0.27","-0.00"
"4.760","0.27","-0.00"
"4.780","0.27","-0.00"
"4.800","0.27","-0.00"
"4.820","0.27","-0.00"
"4.840","0.27","-0.00"
"4.860","0.27","-0.00"
"4.880","0.27","-0.00"
"4.900","0.27","-0.00"
"4.920","0.27","-0.00"
"4.940","0.27","-0.00"
"4.960","0.27","-0.00"
"4.980","0.27","-0.00"
"5.000","0.27","-0.00"
"5.020","0.27","-0.00"
"5.040","0.27","-0.00"
"5.060","0.27","-0.00"
"5.080","0.27","-0.00"
"5.100","0.27","-0.00"
"5.120","0.27","-0.00"
"5.140","0.27","-0.00"
"5.160","0.27","-0.00"
"5.180","0.27","-0.00"
"5.200","0.27","-0.00"
"5.220","0.27","-0.00"
"5.240","0.27","-0.00"
"5.260","0.27","-0.00"
"5.280","0.27","-0.00"
"5.300","0.27","-0.00"
"5.320","0.27","-0.00"
"5.340","0.27","-0.00"
"5.360","0.27","-0.00"
"5.380","0.27","-0.00"
"5.400","0.27","-0.00"
"5.420","0.27","-0.00"
"5.440","0.27","-0.00"
"5.460","0.27","-0.00"
"5.480","0.27","-0.00"
"5.500","0.27","-0.00"
"5.520","0.27","-0.00"
"5.540","0.27","-0.00"
"5.560","0.27","-0.00"
"5.580","0.27","-0.00"
"5.600","0.27","-0.00"
"5.620","0.27","-0.00"
"5.640","0.27","-0.00"
"5.660","0.27","-0.00"
"5.680","0.27","-0.00"
"5.700","0.27","-0.00"
"5.720","0.27","-0.00"
"5.740","0.27","-0.00"
"5.760","0.27","-0.00"
"5.780","0.27","-0.00"
"5.800","0.27","-0.00"
"5.820","0.27","-0.00"
"5.840","0.27","-0.00"
"5.860","0.27","-0.00"
"5.880","0.27","-0.00"
"5.900","0.27","-0.00"
"5.920","0.27","-0.00"
"5.940","0.27","-0.00"
"5.960","0.27","-0.00"
"5.980","0.27","-0.00"
"6.000","0.27","-0.00"
"6.020","0.27","-0.00"
"6.040","0.27","-0.00"
"6.060","0.27","-0.00"
"6.080","0.27","-0.00"
"6.100","0.27","-0.00"
"6.120","0.27","-0.00"
"6.140","0.27","-0.00"
"6.160","0.27","-0.00"
"6.180","0.27","-0.00"
"6.200","0.27","-0.00"
"6.220","0.27","-0.00"
"6.240","0.27","-0.00"
"6.260","0.27","-0.00"
"6.280","0.27","-0.00"
"6.300","0.27","-0.00"
"6.320","0.27","-0.00"
"6.340","0.27","-0.00"
"6.360","0.27","-0.00"
"6.380","0.27","-0.00"
"6.400","0.27","-0.00"
"6.420","0.27","-0.00"
"6.440","0.27","-0.00"
"6.460","0.27","-0.00"
"6.480","0.27","-0.00"
"6.500","0.27","-0.00"
"6.520","0.27","-0.00"
"6.540","0.27","-0.00"
"6.560","0.27","-0.00"
"6.580","0.27","-0.00"
"6.600","0.27","-0.00"
"6.620","0.27","-0.00"
"6.640","0.27","-0.00"
"6.660","0.27","-0.00"
"6.680","0.27","-0.00"
"6.700","0.27","-0.00"
"6.720","0.27","-0.00"
"6.740","0.27","-0.00"
"6.760","0.27","-0.00"
"6.780","0.27","-0.00"
"6.800","0.27","-0.00"
"6.820","0.27","-0.00"
"6.840","0.27","-0.00"
"6.860","0.27","-0.00"
"6.880","0.27","-0.00"
"6.900","0.27","-0.00"
"6.920","0.27","-0.00"
"6.940","0.27","-0.00"
"6.960","0.27","-0.00"
"6.980","0.27","-0.00"
"7.000","0.27","-0.00"
"7.020","0.27","-0.00"
"7.040","0.27","-0.00"
"7.060","0.27","-0.00"
"7.080","0.27","-0.00"
"7.100","0.27","-0.00"
"7.120","0.27","-0.00"
"7.140","0.27","-0.00"
"7.160","0.27","-0.00"
"7.180","0.27","-0.00"
"7.200","0.27","-0.00"
"7.220","0.27","-0.00"
"7.240","0.27","-0.00"
"7.260","0.27","-0.00"
"7.280","0.27","-0.00"
"7.300","0.27","-0.00"
"7.320","0.27","-0.00"
"7.340","0.27","-0.00"
"7.360","0.27","-0.00"
"7.380","0.27","-0.00"
"7.400","0.27","-0.00"
"7.420","0.27","-0.00"
"7.440","0.27","-0.00"
"7.460","0.27","-0.00"
"7.480","0.27","-0.00"
"7.500","0.27","-0.00"
"7.520","0.27","-0.00"
"7.540","0.27","-0.00"
"7.560","0.27","-0.00"
"7.580","0.27","-0.00"
"7.600","0.27","-0.00"
"7.620","0.27","-0.00"
"7.640","0.27","-0.00"
"7.660","0.27","-0.00"
"7.680","0.27","-0.00"
"7.700","0.27","-0.00"
"7.720","0.27","-0.00"
"7.740","0.27","-0.00"
"7.760","0.27","-0.00"
"7.780","0.27","-0.00"
"7.800","0.27","-0.00"
"7.820","0.27","-0.00"
"7.840","0.27","-0.00"
"7.860","0.27","-0.00"
"7.880","0.27","-0.00"
"7.900","0.27","-0.00"
"7.920","0.27","-0.00"
"7.940","0.27","-0.00"
"7.960","0.27","-0.00"
"7.980","0.27","-0.00"
"8.000","0.27","-0.00"
"8.020","0.27","-0.00"
"8.040","0.27","-0.00"
"8.060","0.27","-0.00"
"8.080","0.27","-0.00"
"8.100","0.27","-0.00"
"8.120","0.27","-0.00"
"8.140","0.27","-0.00"
"8.160","0.27","-0.00"
"8.180","0.27","-0.00"
"8.200","0.27","-0.00"
"8.220","0.27","-0.00"
"8.240","0.27","-0.00"
"8.260","0.27","-0.00"
"8.280","0.27","-0.00"
"8.300","0.27","-0.00"
"8.320","0.27","-0.00"
"8.340","0.27","-0.00"
"8.360","0.27","-0.00"
"8.380","0.27","-0.00"
"8.400","0.27","-0.00"
"8.420","0.27","-0.00"
"8.440","0.27","-0.00"
"8.460","0.27","-0.00"
"8.480","0.27","-0.00"
"8.500","0.27","-0.00"
"8.520","0.27","-0.00"
"8.540","0.27","-0.00"
"8.560","0.27","-0.00"
"8.580","0.27","-0.00"
"8.600","0.27","-0.00"
"8.620","0.27","-0.00"
"8.640","0.27","-0.00"
"8.660","0.27","-0.00"
"8.680","0.27","-0.00"
"8.700","0.27","-0.00"
"8.720","0.27","-0.00"
"8.740","0.27","-0.00"
"8.760","0.27","-0.00"
"8.780","0.27","-0.00"
"8.800","0.27","-0.00"
"8.820","0.27","-0.00"
"8.840","0.27","-0.00"
"8.860","0.27","-0.00"
"8.880","0.27","-0.00"
"8.900","0.27","-0.00"
"8.920","0.27","-0.00"
"8.940","0.27","-0.00"
"8.960","0.27","-0.00"
"8.980","0.27","-0.00"
"9.000","0.27","-0.00"
"9.020","0.27","-0.00"
"9.040","0.27","-0.00"
"9.060","0.27","-0.00"
"9.080","0.27","-0.00"
"9.100","0.27","-0.00"
"9.120","0.27","-0.00"
"9.140","0.27","-0.00"
"9.160","0.27","-0.00"
"9.180","0.27","-0.00"
"9.200","0.27","-0.00"
"9.220","0.27","-0.00"
"9.240","0.27","-0.00"
"9.260","0.27","-0.00"
"9.280","0.27","-0.00"
"9.300","0.27","-0.00"
"9.320","0.27","-0.00"
"9.340","0.27","-0.00"
"9.360","0.27","-0.00"
"9.380","0.27","-0.00"
"9.400","0.27","-0.00"
"9.420","0.27","-0.00"
"9.440","0.27","-0.00"
"9.460","0.27","-0.00"
"9.480","0.27","-0.00"
"9.500","0.27","-0.00"
"9.520","0.27","-0.00"
"9.540","0.27","-0.00"
"9.560","0.27","-0.00"
"9.580","0.27","-0.00"
"9.600","0.27","-0.00"
"9.620","0.27","-0.00"
"9.640","0.27","-0.00"
"9.660","0.27","-0.00"
"9.680","0.27","-0.00"
"9.700","0.27","-0.00"
"9.720","0.27","-0.00"
"9.740","0.27","-0.00"
"9.760","0.27","-0.00"
"9.780","0.27","-0.00"
"9.800","0.27","-0.00"
"9.820","0.27","-0.00"
"9.840","0.27","-0.00"
"9.860","0.27","-0.00"
